amount,result,time
320,-1.52795e-28,1e-06
321,7.38344e-42,1e-06
322,1.50359e-42,1e-06
323,0,1e-06
324,-1.52795e-28,1e-06
325,7.38344e-42,1e-06
326,1.48117e-42,1e-06
327,0,1e-06
328,-1.52795e-28,1e-06
329,7.38344e-42,1e-06
330,1.45875e-42,1e-06
332,-1.52795e-28,1e-06
333,7.38344e-42,1e-06
334,1.43633e-42,1e-06
335,0,1e-06
337,7.38344e-42,1e-06
338,1.41391e-42,1e-06
339,0,1e-06
340,-1.52795e-28,1e-06
341,7.38344e-42,1e-06
342,1.39149e-42,1e-06
343,0,1e-06
344,-1.52795e-28,1e-06
345,7.38344e-42,1e-06
346,1.36907e-42,1e-06
347,0,1e-06
348,-1.52794e-28,1e-06
349,7.38344e-42,1e-06
350,1.34665e-42,1e-06
352,-1.52794e-28,1e-06
353,7.38344e-42,1e-06
354,1.32423e-42,1e-06
357,7.38344e-42,1e-06
358,1.30181e-42,1e-06
359,0,1e-06
360,-1.52794e-28,1e-06
361,7.38344e-42,1e-06
363,0,1e-06
364,-1.52794e-28,1e-06
365,7.38344e-42,1e-06
366,1.25696e-42,1e-06
367,0,1e-06
368,-1.52793e-28,1e-06
369,7.38344e-42,1e-06
371,0,1e-06
372,-1.52793e-28,1e-06
373,7.38344e-42,1e-06
374,1.21212e-42,1e-06
375,0,1e-06
376,-1.52793e-28,1e-06
377,7.38344e-42,1e-06
379,0,1e-06
381,7.38344e-42,1e-06
382,1.16728e-42,1e-06
383,0,1e-06
384,-1.52793e-28,1e-06
385,7.38344e-42,1e-06
386,1.14486e-42,1e-06
387,0,1e-06
388,-1.52792e-28,1e-06
390,1.12244e-42,1e-06
391,0,1e-06
392,-1.52792e-28,1e-06
393,7.38344e-42,1e-06
394,1.10002e-42,1e-06
397,7.38344e-42,1e-06
398,1.0776e-42,1e-06
399,0,1e-06
401,7.38344e-42,1e-06
402,1.05518e-42,1e-06
403,0,1e-06
404,-1.52792e-28,1e-06
406,1.03276e-42,1e-06
407,0,1e-06
409,7.38344e-42,1e-06
410,1.01034e-42,1e-06
411,0,1e-06
412,-1.52791e-28,1e-06
414,9.87915e-43,1e-06
415,0,1e-06
416,-1.52791e-28,1e-06
417,7.38344e-42,1e-06
418,9.65495e-43,1e-06
419,0,1e-06
420,-1.52791e-28,1e-06
421,7.38344e-42,1e-06
422,9.43074e-43,1e-06
423,0,1e-06
424,-1.52791e-28,1e-06
425,7.38344e-42,1e-06
426,9.20653e-43,1e-06
427,0,1e-06
429,7.38344e-42,1e-06
430,8.98232e-43,1e-06
431,0,1e-06
432,-1.5279e-28,1e-06
433,7.38344e-42,1e-06
434,8.75812e-43,1e-06
436,3.53127e-43,1e-06
437,0,1e-06
438,8.3097e-43,1e-06
439,7.38344e-42,1e-06
440,0.350666,9.7e-05
441,1.73605e-40,1e-06
442,3.27483e-42,2e-06
443,0,1e-06
444,-1.5279e-28,1e-06
445,0.346793,4.8e-05
446,7.41287e-43,1e-06
448,0.341058,5.9e-05
449,0,1e-06
450,3.22999e-42,1e-06
451,0,1e-06
452,-1.52789e-28,1e-06
453,0.337259,6.3e-05
454,6.51604e-43,1e-06
455,0,1e-06
456,0.331664,6.2e-05
457,0.61565,1e-06
458,3.18515e-42,2e-06
459,0,1e-06
