amount,result,time
31200,0,2e-06
31300,43,1e-06
31400,4486,0.006137
31500,0,1e-06
31600,43,1e-06
31700,4529,0.006918
31800,0,1e-06
31900,43,1e-06
32000,4572,0.006069
32100,0,1e-06
32200,43,1e-06
32300,4615,0.007321
32400,0,1e-06
32500,43,2e-06
32600,4658,0.006332
32700,0,1e-06
32800,43,1e-06
32900,4700,0.006564
33000,0,2e-06
33100,43,0
33200,0,2e-06
33300,0,1e-06
33400,4772,0.006566
33500,4786,0.006403
33600,0,1e-06
33700,43,2e-06
33800,0,3e-06
33900,71,2e-06
34000,0,2e-06
34100,0,1e-06
34200,4886,0.006922
34300,0,2e-06
34400,0,1e-06
34500,4929,0.007078
34600,0,3e-06
34700,0,2e-06
34800,4972,0.006704
34900,0,1e-06
35000,5000,0.007249
35100,0,1e-06
35200,0,1e-06
35300,5043,0.00693
35400,0,1e-06
35500,0,1e-06
35600,5086,0.006817
35700,0,0
35800,0,1e-06
35900,5129,0.007054
36000,0,2e-06
36100,5158,0.008094
36200,0,2e-06
36300,0,1e-06
36400,5200,0.007466
36500,0,1e-06
36600,0,1e-06
36700,5243,0.008354
36800,0,1e-06
36900,0,2e-06
37000,0,1e-06
37100,0,1e-06
37200,0,2e-06
37300,0,2e-06
37400,5343,0.008366
37500,0,2e-06
37600,0,2e-06
37700,5386,0.008353
37800,0,1e-06
37900,0,2e-06
38000,0,1e-06
38100,0,1e-06
38200,0,1e-06
38300,0,1e-06
38400,5486,0.007324
38500,0,1e-06
38600,0,2e-06
38700,5529,0.008088
38800,0,1e-06
38900,0,1e-06
39000,5572,0.009119
39100,0,2e-06
39200,5600,0.007761
39300,0,2e-06
39400,0,1e-06
39500,5643,0.008031
39600,0,1e-06
39700,0,1e-06
39800,5686,0.00777
39900,0,2e-06
40000,0,2e-06
40100,0,2e-06
40200,0,1e-06
40300,0,1e-06
40400,0,1e-06
40500,5786,0.008103
40600,0,1e-06
40700,0,1e-06
40800,5829,0.007748
40900,0,1e-06
41000,0,1e-06
41100,0,1e-06
41200,0,1e-06
41300,0,2e-06
41400,0,1e-06
41500,5929,0.00813
41600,0,1e-06
41700,0,2e-06
41800,5972,0.008554
41900,0,1e-06
42000,0,1e-06
